tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
,Castle,V. Wembanyama,SAS,0,D. Fox,SAS,0022500202
,,M. Christie,DAL,1,M. Christie,DAL,0022500203
,Booker,D. Brooks,PHX,0,D. Booker,PHX,0022500204
,Bailey,D. DiVincenzo,MIN,0,L. Markkanen,UTA,0022500205
,Harden,Z. Risacher,ATL,0,K. Dunn,LAC,0022500206
,Clowney,E. Dëmin,BKN,1,E. Dëmin,BKN,0022500207
,Caldwell-Pope,J. Jackson Jr.,MEM,1,J. Jackson Jr.,MEM,0022500208
,Maxey,A. Drummond,PHI,1,A. Drummond,PHI,0022500209
,Gilgeous-Alexander,C. Wallace,OKC,0,S. Curry,GSW,0022500210
,George,J. Nurkić,UTA,0,P. Siakam,IND,0022500211
,,D. Sabonis,SAC,1,D. Sabonis,SAC,0022500212
,James,R. Kalkbrenner,CHA,1,R. Kalkbrenner,CHA,0022500213
,Jones,D. Robinson,DET,1,D. Robinson,DET,0022500214
,Suggs,J. Suggs,ORL,0,J. Brunson,NYK,0022500215
,Williams Jr.,J. Jackson Jr.,MEM,0,J. Brown,BOS,0022500216
,Ball,J. Allen,CLE,0,N. Powell,MIA,0022500217
,Middleton,K. Middleton,WAS,0,J. Smith Jr.,HOU,0022500218
,Avdija,J. Holiday,POR,0,T. Murphy III,NOP,0022500219
,Castle,V. Wembanyama,SAS,0,M. Moody,GSW,0022500220
,Allen,G. Allen,PHX,0,B. Williams,DAL,0022500221
,Hachimura,D. Ayton,LAL,0,L. Dončić,LAL,0022500222
,Daniels,K. Porziņģis,ATL,1,K. Porziņģis,ATL,0022500223
,Jones Jr.,J. Collins,LAC,0,I. Zubac,LAC,0022500224
,Quickley,J. Poeltl,TOR,0,J. Allen,CLE,0022500225
,Siakam,A. Nembhard,IND,0,J. Robinson-Earl,IND,0022500226
,Markkanen,K. George,UTA,0,L. Markkanen,UTA,0022500227
,Jackson Jr.,C. Coward,MEM,0,D. Mitchell,CLE,0022500228
,,K. Knueppel,CHA,1,K. Knueppel,CHA,0022500229
,Walker,J. Walker,IND,0,J. Robinson-Earl,IND,0022500230
,James,A. Reaves,LAL,1,A. Reaves,LAL,0022500231
,Hardaway Jr.,J. Murray,DEN,1,J. Murray,DEN,0022500232
,Zubac,J. Collins,LAC,0,D. White,BOS,0022500233
,Westbrook,Z. LaVine,SAC,1,Z. LaVine,SAC,0022500234
,George,K. George,WAS,1,K. George,WAS,0022500235
,da Silva,A. Black,ORL,0,A. Sengun,HOU,0022500236
,Fears,H. Jones,NOP,1,H. Jones,NOP,0022500237
,Avdija,S. Sharpe,POR,0,P. Washington,DAL,0022500238
,Dunn,Z. Risacher,ATL,1,Z. Risacher,ATL,0022500239
,George,L. Markkanen,UTA,1,L. Markkanen,UTA,0022500240
,Hunter,S. Merrill,CLE,0,A. Green,MIL,0022500241
,Siakam,A. Nembhard,IND,1,A. Nembhard,IND,0022500242
,Maxey,V. Edgecombe,PHI,0,P. George,PHI,0022500243
,Powell,D. Mitchell,MIA,0,M. McBride,NYK,0022500244
,Barrett,B. Ingram,TOR,1,B. Ingram,TOR,0022500245
,Williams,M. Cisse,DAL,0,M. Cisse,DAL,0022500246
,Gilgeous-Alexander,L. Dort,OKC,0,L. Dort,OKC,0022500247
,Gordon,P. Watson,DEN,1,P. Watson,DEN,0022500248
,Suggs,F. Wagner,ORL,1,F. Wagner,ORL,0022500249
,Porter Jr.,M. Porter Jr.,BKN,1,M. Porter Jr.,BKN,0022500250
,Alexander-Walker,O. Okongwu,ATL,0,J. Duren,DET,0022500251
,Williams Jr.,C. Coward,MEM,1,C. Coward,MEM,0022500252
,George,K. George,UTA,0,S. Mykhailiuk,UTA,0022500253
,Booker,M. Williams,PHX,1,M. Williams,PHX,0022500254
,Mobley,N. Tomlin,CLE,0,J. Smith Jr.,HOU,0022500255
,Siakam,B. Mathurin,IND,1,B. Mathurin,IND,0022500256
,Mitchell,A. Wiggins,MIA,1,A. Wiggins,MIA,0022500257
,Maxey,R. Barrett,TOR,0,J. Poeltl,TOR,0022500258
,McCollum,K. Middleton,WAS,0,K. George,WAS,0022500259
,,D. Queen,NOP,0,J. Fears,NOP,0022500260
,Wallace,C. Holmgren,OKC,1,C. Holmgren,OKC,0022500261
,Shamet,L. Shamet,NYK,1,L. Shamet,NYK,0022500262
,Cissoko,N. Vučević,CHI,1,N. Vučević,CHI,0022500263
,da Silva,T. da Silva,ORL,0,K. Dunn,LAC,0022500264
,Williams Jr.,J. Wells,MEM,1,J. Wells,MEM,0022500265
,George,P. George,PHI,1,P. George,PHI,0022500266
,Johnson,K. Porziņģis,ATL,1,K. Porziņģis,ATL,0022500267
,Sanders,B. Miller,CHA,1,B. Miller,CHA,0022500268
,Brunson,J. Brunson,NYK,1,J. Brunson,NYK,0022500269
,Johnson,J. Johnson,ATL,0,D. Daniels,ATL,0022500270
,McCollum,M. Buzelis,CHI,1,M. Buzelis,CHI,0022500271
,Portis,B. Portis,MIL,1,B. Portis,MIL,0022500272
,Williams Jr.,C. Coward,MEM,0,M. Christie,DAL,0022500273
,LaVine,D. Eubanks,SAC,0,C. Johnson,DEN,0022500274
,,N. Powell,MIA,1,N. Powell,MIA,0022500275
,Sexton,M. Plumlee,CHA,1,M. Plumlee,CHA,0022500276
,Wagner,D. Bane,ORL,0,N. Queta,BOS,0022500277
,Garland,J. Tyson,CLE,0,I. Zubac,LAC,0022500278
,Mann,S. Mamukelashvili,TOR,1,S. Mamukelashvili,TOR,0022500279
